GluGluToBulkGravitonToHHTo2B2Tau_M-250
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2629, eff_eTau = 0.44
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2604, eff_eTau = 0.43
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2602, eff_eTau = 0.43
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2627, eff_eTau = 0.44
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5116, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5110, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5090, eff_muTau = 0.72
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5110, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5090, eff_muTau = 0.72
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5097, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5097, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5116, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5097, eff_muTau = 0.73
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1199, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1176, eff_tauTau = 0.08
with  tauTau && (HLT_ditau) : n_tauTau = 1173, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1196, eff_tauTau = 0.08
GluGluToBulkGravitonToHHTo2B2Tau_M-260
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2659, eff_eTau = 0.45
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2641, eff_eTau = 0.44
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2640, eff_eTau = 0.44
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2658, eff_eTau = 0.45
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4998, eff_muTau = 0.74
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 4983, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 4965, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 4983, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 4965, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 4980, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 4980, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 4998, eff_muTau = 0.74
