GluGluToRadionToHHTo2B2Tau_M-250
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2685, eff_eTau = 0.43
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2671, eff_eTau = 0.43
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2671, eff_eTau = 0.43
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2685, eff_eTau = 0.43
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5319, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5306, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5295, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5306, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5295, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5309, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5309, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5319, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5309, eff_muTau = 0.73
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1217, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1193, eff_tauTau = 0.08
with  tauTau && (HLT_ditau) : n_tauTau = 1193, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1217, eff_tauTau = 0.08
GluGluToRadionToHHTo2B2Tau_M-260
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2632, eff_eTau = 0.45
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 2616, eff_eTau = 0.45
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 2616, eff_eTau = 0.45
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 2632, eff_eTau = 0.45
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5067, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 5053, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 5042, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 5053, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 5042, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5056, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 5056, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 5067, eff_muTau = 0.73
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 5056, eff_muTau = 0.73
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 1111, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 1071, eff_tauTau = 0.08
with  tauTau && (HLT_ditau) : n_tauTau = 1069, eff_tauTau = 0.08
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 1110, eff_tauTau = 0.08
GluGluToRadionToHHTo2B2Tau_M-270
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 2787, eff_eTau = 0.46
